RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000000001	8218	8859	4348	9552	8817	4161	4417	5489	7647	3537	2838	3208	4226	4632	6607
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	187	157	123	528	715	2485	2968	3031	2258	314	584	353	978	652	1108
ENSMUSG00000000031	0	0	0	0	2	1	0	1	0	224	146	124	127	132	148
ENSMUSG00000000037	8	0	4	0	0	2	4	0	7	1	1	0	2	0	0
ENSMUSG00000000049	5	0	1	0	4	1	2	3	1	21	12	32	19	25	26
ENSMUSG00000000056	2393	2541	1532	1918	2736	2282	1152	1794	1691	1454	1440	1651	2754	1666	1696
ENSMUSG00000000058	6	6	0	5	9	9	18	31	29	89	59	98	67	65	141
ENSMUSG00000000078	10951	8298	5141	7385	8011	4592	1804	2493	2903	3503	3890	4520	6679	5410	6674
ENSMUSG00000000085	862	905	548	163	159	82	92	101	120	61	147	102	299	28	125
ENSMUSG00000000088	1828	1825	1807	3799	3799	4942	3659	4739	3583	2966	3038	1793	3247	3018	4323
ENSMUSG00000000093	0	1	5	4	0	0	0	0	1	0	1	0	0	0	3
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	5	0	0	0	0	0	0	0	0	8	0	0	0	0
ENSMUSG00000000120	0	0	0	4	7	8	0	0	0	0	0	1	12	0	0
ENSMUSG00000000125	12	7	7	1	8	1	107	80	66	45	44	27	15	7	2
ENSMUSG00000000126	0	0	0	2	1	3	0	0	0	0	0	0	0	0	1
ENSMUSG00000000127	16	21	11	19	22	7	12	16	9	9	42	74	15	13	52
ENSMUSG00000000131	1693	2447	997	1382	1399	855	1165	1325	1490	720	937	1250	1164	833	1614
ENSMUSG00000000134	402	526	379	515	494	349	333	456	473	278	572	277	757	292	554
ENSMUSG00000000142	526	452	269	241	281	191	49	63	85	13	32	26	26	36	20
